left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
4.833333,352.75,10.5,285.5,340.6667,85,349.8333,88.66666,4.666667,353,11,286,341.3333,85,349.6667,87.33333
4.666667,353,11,286,341.3333,85,349.6667,87.33333,4.5,353.25,11.5,286.5,342,85,349.5,85.99999
4.5,353.25,11.5,286.5,342,85,349.5,85.99999,4.333334,353.5,12,287,342.6666,85,349.3334,84.66666
4.333334,353.5,12,287,342.6666,85,349.3334,84.66666,4.166667,353.75,12.5,287.5,343.3333,85,349.1667,83.33332
4.166667,353.75,12.5,287.5,343.3333,85,349.1667,83.33332,4.000001,354,13,288,343.9999,85,349.0001,81.99998
4.000001,354,13,288,343.9999,85,349.0001,81.99998,3.833334,354.25,13.5,288.5,344.6666,85,348.8334,80.66665
3.833334,354.25,13.5,288.5,344.6666,85,348.8334,80.66665,3.666667,354.5,14,289,345.3333,85,348.6667,79.33331
3.666667,354.5,14,289,345.3333,85,348.6667,79.33331,3.500001,354.75,14.5,289.5,345.9999,85,348.5001,77.99998
3.500001,354.75,14.5,289.5,345.9999,85,348.5001,77.99998,3.333334,355,15,290,346.6666,85,348.3334,76.66664
3.333334,355,15,290,346.6666,85,348.3334,76.66664,3.166667,355.25,15.5,290.5,347.3332,85,348.1668,75.33331
3.166667,355.25,15.5,290.5,347.3332,85,348.1668,75.33331,3,355.5,16,291,347.9999,85,348.0001,73.99997
3,355.5,16,291,347.9999,85,348.0001,73.99997,2.833334,355.75,16.5,291.5,348.6665,85,347.8335,72.66663
2.833334,355.75,16.5,291.5,348.6665,85,347.8335,72.66663,2.666667,356,17,292,349.3332,85,347.6668,71.3333
2.666667,356,17,292,349.3332,85,347.6668,71.3333,2.5,356.25,17.5,292.5,349.9998,85,347.5002,69.99996
2.5,356.25,17.5,292.5,349.9998,85,347.5002,69.99996,2.333333,356.5,18,293,350.6665,85,347.3335,68.66663
2.333333,356.5,18,293,350.6665,85,347.3335,68.66663,2.166667,356.75,18.5,293.5,351.3332,85,347.1668,67.33329
2.166667,356.75,18.5,293.5,351.3332,85,347.1668,67.33329,2,357,19,294,351.9998,85,347.0002,65.99995
2,357,19,294,351.9998,85,347.0002,65.99995,1.833333,357.25,19.5,294.5,352.6665,85,346.8335,64.66662
1.833333,357.25,19.5,294.5,352.6665,85,346.8335,64.66662,1.666667,357.5,20,295,353.3331,85,346.6669,63.33329
1.666667,357.5,20,295,353.3331,85,346.6669,63.33329,1.5,357.75,20.5,295.5,353.9998,85,346.5002,61.99995
1.5,357.75,20.5,295.5,353.9998,85,346.5002,61.99995,1.333333,358,21,296,354.6664,85,346.3336,60.66662
1.333333,358,21,296,354.6664,85,346.3336,60.66662,1.166667,358.25,21.5,296.5,355.3331,85,346.1669,59.33329
1.166667,358.25,21.5,296.5,355.3331,85,346.1669,59.33329,1,358.5,22,297,355.9998,85,346.0002,57.99996
1,358.5,22,297,355.9998,85,346.0002,57.99996,0.8333336,358.75,22.5,297.5,356.6664,85,345.8336,56.66663
0.8333336,358.75,22.5,297.5,356.6664,85,345.8336,56.66663,0.6666669,359,23,298,357.3331,85,345.6669,55.33329
0.6666669,359,23,298,357.3331,85,345.6669,55.33329,0.5000002,359.25,23.5,298.5,357.9997,85,345.5003,53.99996
0.5000002,359.25,23.5,298.5,357.9997,85,345.5003,53.99996,0.3333335,359.5,24,299,358.6664,85,345.3336,52.66663
0.3333335,359.5,24,299,358.6664,85,345.3336,52.66663,0.1666668,359.75,24.5,299.5,359.333,85,345.167,51.3333
0.1666668,359.75,24.5,299.5,359.333,85,345.167,51.3333,1.490116e-07,360,25,300,359.9997,85,345.0003,50
1.490116e-07,360,25,300,359.9997,85,345.0003,50,0,0.25,25,300,0.6663513,85,345,50
0,0.25,25,300,0.6663513,85,345,50,0,0,25,300,0,85,345,50
0,0,25,300,0,85,345,50,0.08333334,359.3333,25,301.3333,0.8333333,84.16666,344.5,49.66667
0.08333334,359.3333,25,301.3333,0.8333333,84.16666,344.5,49.66667,0.1666667,358.6667,25,302.6667,1.666667,83.33333,344,49.33334
0.1666667,358.6667,25,302.6667,1.666667,83.33333,344,49.33334,0.25,358,25,304,2.5,82.49999,343.5,49
0.25,358,25,304,2.5,82.49999,343.5,49,0.3333333,357.3334,25,305.3334,3.333333,81.66666,343,48.66667
0.3333333,357.3334,25,305.3334,3.333333,81.66666,343,48.66667,0.4166667,356.6667,25,306.6667,4.166667,80.83332,342.5,48.33334
0.4166667,356.6667,25,306.6667,4.166667,80.83332,342.5,48.33334,0.5,356.0001,25,308.0001,5,79.99998,342,48.00001
